EL,ER,SL,SR,type
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
78,78,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
77,77,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
76,76,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
75,75,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
74,74,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
73,73,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
72,72,83,83,2
71,71,83,83,2
71,71,83,83,2
71,71,83,83,2
70,70,83,83,2
70,70,83,83,2
70,70,83,83,2
69,69,83,83,2
68,68,83,83,2
68,68,83,83,2
67,67,83,83,2
67,67,83,83,2
66,66,83,83,2
83,83,84,84,2
83,83,84,84,2
83,83,84,84,2
82,82,84,84,2
82,82,84,84,2
82,82,84,84,2
82,82,84,84,2
82,82,84,84,2
82,82,84,84,2
82,82,84,84,2
82,82,84,84,2
82,82,84,84,2
82,82,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
81,81,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
80,80,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
79,79,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
78,78,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
77,77,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
76,76,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
75,75,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
74,74,84,84,2
73,73,84,84,2
73,73,84,84,2
73,73,84,84,2
73,73,84,84,2
73,73,84,84,2
73,73,84,84,2
73,73,84,84,2
73,73,84,84,2
73,73,84,84,2
73,73,84,84,2
72,72,84,84,2
72,72,84,84,2
72,72,84,84,2
72,72,84,84,2
72,72,84,84,2
72,72,84,84,2
72,72,84,84,2
72,72,84,84,2
72,72,84,84,2
72,72,84,84,2
71,71,84,84,2
71,71,84,84,2
71,71,84,84,2
70,70,84,84,2
70,70,84,84,2
70,70,84,84,2
70,70,84,84,2
69,69,84,84,2
69,69,84,84,2
84,84,85,85,2
84,84,85,85,2
84,84,85,85,2
84,84,85,85,2
84,84,85,85,2
84,84,85,85,2
84,84,85,85,2
84,84,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
83,83,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
82,82,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
81,81,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
80,80,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
79,79,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
78,78,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
77,77,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
76,76,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
75,75,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
74,74,85,85,2
73,73,85,85,2
73,73,85,85,2
73,73,85,85,2
73,73,85,85,2
73,73,85,85,2
73,73,85,85,2
73,73,85,85,2
72,72,85,85,2
72,72,85,85,2
72,72,85,85,2
72,72,85,85,2
72,72,85,85,2
72,72,85,85,2
72,72,85,85,2
72,72,85,85,2
72,72,85,85,2
71,71,85,85,2
70,70,85,85,2
70,70,85,85,2
70,70,85,85,2
85,85,86,86,2
85,85,86,86,2
85,85,86,86,2
85,85,86,86,2
85,85,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
84,84,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
83,83,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
82,82,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
81,81,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
80,80,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
79,79,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
78,78,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
77,77,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
76,76,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
75,75,86,86,2
74,74,86,86,2
74,74,86,86,2
74,74,86,86,2
74,74,86,86,2
74,74,86,86,2
74,74,86,86,2
74,74,86,86,2
74,74,86,86,2
73,73,86,86,2
73,73,86,86,2
73,73,86,86,2
73,73,86,86,2
73,73,86,86,2
71,71,86,86,2
71,71,86,86,2
70,70,86,86,2
86,86,87,87,2
86,86,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
85,85,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
84,84,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
83,83,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
